Symbol,Company_Name,Sector,Industry,Market_Cap,Exchange
KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,43850743808,NYQ
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,45195296768,NMS
KEY,KeyCorp,Financial Services,Banks - Regional,20658196480,NYQ
KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,28647540736,NYQ
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,42266722304,NMS
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,14734083072,NYQ
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,60862771200,NYQ
KKR,KKR & Co. Inc.,Financial Services,Asset Management,140779962368,NYQ
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,119293288448,NMS
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,33943926784,NMS
KR,The Kroger Co.,Consumer Defensive,Grocery Stores,47246204928,NYQ
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,50380943360,NYQ
LH,Labcorp Holdings Inc.,Healthcare,Diagnostics & Research,21965182976,NYQ
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,124023472128,NMS
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,8477858304,NYQ
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,37034373120,NYQ
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,21013377024,NYQ
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,29729882112,NYQ
LII,Lennox International Inc.,Industrials,Building Products & Equipment,23210840064,NYQ
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,729581092864,NYQ
LIN,Linde plc,Basic Materials,Specialty Chemicals,222600675328,NMS
LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,35475021824,NYQ
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,8277114880,NMS
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,98328453120,NYQ
L,Loews Corporation,Financial Services,Insurance - Property & Casualty,19220826112,NYQ
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,127107342336,NYQ
LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,26298904576,NMS
LYB,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,20572815360,NYQ
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,31103186944,NYQ
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,52708712448,NYQ
MKTX,MarketAxess Holdings Inc.,Financial Services,Capital Markets,7929734144,NMS
MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,76447105024,NMS
MMC,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,103437688832,NYQ
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,35310964736,NYQ
MAS,Masco Corporation,Industrials,Building Products & Equipment,14291320832,NYQ
MA,Mastercard Incorporated,Financial Services,Credit Services,515990323200,NYQ
MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information,8474976256,NMS
MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,19207600128,NYQ
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,213415903232,NYQ
MCK,McKesson Corporation,Healthcare,Medical Distribution,88909168640,NYQ
MDT,Medtronic plc,Healthcare,Medical Devices,119080312832,NYQ
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,212709343232,NYQ
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1791912706048,NMS
MET,"MetLife, Inc.",Financial Services,Insurance - Life,52737167360,NYQ
MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,26269251584,NYQ
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,10461407232,NYQ
MCHP,Microchip Technology Incorporated,Technology,Semiconductors,37350907904,NMS
MU,"Micron Technology, Inc.",Technology,Semiconductors,124514402304,NMS
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,3818170351616,NMS
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,18215892992,NYQ
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,13207240704,NMS
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",7559236096,NYQ
MOH,"Molina Healthcare, Inc.",Healthcare,Healthcare Plans,8944083968,NYQ
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,10358449152,NYQ
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,91388395520,NMS
MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,34218878976,NMS
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,59158421504,NMS
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,92002205696,NYQ
MS,Morgan Stanley,Financial Services,Capital Markets,229433786368,NYQ
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,11705824256,NYQ
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,71440048128,NYQ
MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,42263834624,NYQ
NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges,54418714624,NMS
NTAP,"NetApp, Inc.",Technology,Computer Hardware,21026408448,NMS
NFLX,"Netflix, Inc.",Communication Services,Entertainment,501620899840,NMS
NEM,Newmont Corporation,Basic Materials,Gold,72223088640,NYQ
NWSA,News Corporation,Communication Services,Entertainment,17471807488,NMS
NWS,News Corporation,Communication Services,Entertainment,17471801344,NMS
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,147959988224,NYQ
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,112643153920,NYQ
NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,19854252032,NYQ
NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,12479425536,NMS
NSC,Norfolk Southern Corporation,Industrials,Railroads,63660875776,NYQ
NTRS,Northern Trust Corporation,Financial Services,Asset Management,24866025472,NMS
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,81577082880,NYQ
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services,10642942976,NYQ
NRG,"NRG Energy, Inc.",Utilities,Utilities - Independent Power Producers,30614910976,NYQ
NUE,Nucor Corporation,Basic Materials,Steel,33650419712,NYQ
NVDA,NVIDIA Corporation,Technology,Semiconductors,4231248740352,NMS
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,21637226496,NYQ
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,56294760448,NMS
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Auto Parts,83065790464,NMS
OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,44000583680,NYQ
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,35310292992,NMS
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,14815936512,NYQ
ON,ON Semiconductor Corporation,Technology,Semiconductors,23786012672,NMS
OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,50932494336,NYQ
ORCL,Oracle Corporation,Technology,Software - Infrastructure,688500375552,NYQ
OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,35240333312,NYQ
PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,53320085504,NMS
PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,18583568384,NYQ
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,374753689600,NMS
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,135540441088,NMS
PARA,Paramount Global,Communication Services,Entertainment,9210885120,NMS
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,94404943872,NYQ
PAYX,"Paychex, Inc.",Technology,Software - Application,53312512000,NMS
PAYC,"Paycom Software, Inc.",Technology,Software - Application,13376978944,NYQ
PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,75838128128,NMS
PNR,Pentair plc,Industrials,Specialty Industrial Machinery,16898009088,NYQ
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,196394532864,NMS
